dimension,subgroup,environment,count,percent,subgroup_total
racial_ethnic,white,ec_program_10plus_hrs,2581,17.38,6292
racial_ethnic,white,services_other_loc_attended_ec_10plus_hrs,302,2.03,6292
racial_ethnic,white,ec_program_less_10_hrs,288,1.94,6292
racial_ethnic,white,services_other_loc_attended_ec_less_10_hrs,538,3.62,6292
racial_ethnic,white,separate_class,2305,15.52,6292
racial_ethnic,white,separate_school,,,6292
racial_ethnic,white,residential_facility,,,6292
racial_ethnic,hispanic,ec_program_10plus_hrs,2310,15.55,5007
racial_ethnic,hispanic,services_other_loc_attended_ec_10plus_hrs,190,1.28,5007
racial_ethnic,hispanic,ec_program_less_10_hrs,155,1.04,5007
racial_ethnic,hispanic,services_other_loc_attended_ec_less_10_hrs,447,3.01,5007
racial_ethnic,hispanic,separate_class,1780,11.99,5007
racial_ethnic,hispanic,separate_school,,,5007
racial_ethnic,hispanic,residential_facility,,,5007
racial_ethnic,black,ec_program_10plus_hrs,616,4.15,1652
racial_ethnic,black,services_other_loc_attended_ec_10plus_hrs,81,0.55,1652
racial_ethnic,black,ec_program_less_10_hrs,44,0.3,1652
racial_ethnic,black,services_other_loc_attended_ec_less_10_hrs,179,1.21,1652
racial_ethnic,black,separate_class,650,4.38,1652
racial_ethnic,black,separate_school,,,1652
racial_ethnic,black,residential_facility,,,1652
racial_ethnic,asian,ec_program_10plus_hrs,411,2.77,1347
racial_ethnic,asian,services_other_loc_attended_ec_10plus_hrs,138,0.93,1347
racial_ethnic,asian,ec_program_less_10_hrs,25,0.17,1347
racial_ethnic,asian,services_other_loc_attended_ec_less_10_hrs,96,0.65,1347
racial_ethnic,asian,separate_class,627,4.22,1347
racial_ethnic,asian,separate_school,50,0.34,1347
racial_ethnic,asian,residential_facility,0,0,1347
racial_ethnic,multiracial,ec_program_10plus_hrs,183,1.23,434
racial_ethnic,multiracial,services_other_loc_attended_ec_10plus_hrs,17,0.11,434
racial_ethnic,multiracial,ec_program_less_10_hrs,14,0.09,434
racial_ethnic,multiracial,services_other_loc_attended_ec_less_10_hrs,31,0.21,434
racial_ethnic,multiracial,separate_class,,,434
racial_ethnic,multiracial,separate_school,,,434
racial_ethnic,multiracial,residential_facility,0,0,434
racial_ethnic,native_american,ec_program_10plus_hrs,13,0.09,22
racial_ethnic,native_american,services_other_loc_attended_ec_10plus_hrs,,,22
racial_ethnic,native_american,ec_program_less_10_hrs,,,22
racial_ethnic,native_american,services_other_loc_attended_ec_less_10_hrs,,,22
racial_ethnic,native_american,separate_class,,,22
racial_ethnic,native_american,separate_school,0,0,22
racial_ethnic,native_american,residential_facility,0,0,22
racial_ethnic,pacific_islander,ec_program_10plus_hrs,12,0.08,21
racial_ethnic,pacific_islander,services_other_loc_attended_ec_10plus_hrs,,,21
racial_ethnic,pacific_islander,ec_program_less_10_hrs,,,21
racial_ethnic,pacific_islander,services_other_loc_attended_ec_less_10_hrs,,,21
racial_ethnic,pacific_islander,separate_class,,,21
racial_ethnic,pacific_islander,separate_school,,,21
racial_ethnic,pacific_islander,residential_facility,0,0,21
racial_ethnic,total,ec_program_10plus_hrs,6126,41.25,14798
racial_ethnic,total,services_other_loc_attended_ec_10plus_hrs,732,4.93,14798
racial_ethnic,total,ec_program_less_10_hrs,530,3.57,14798
racial_ethnic,total,services_other_loc_attended_ec_less_10_hrs,1301,8.76,14798
racial_ethnic,total,separate_class,5560,37.44,14798
racial_ethnic,total,separate_school,,,14798
racial_ethnic,total,residential_facility,,,14798
gender,female,ec_program_10plus_hrs,1844,12.42,4163
gender,female,services_other_loc_attended_ec_10plus_hrs,166,1.12,4163
gender,female,ec_program_less_10_hrs,174,1.17,4163
gender,female,services_other_loc_attended_ec_less_10_hrs,363,2.44,4163
gender,female,separate_class,1443,9.72,4163
gender,female,separate_school,171,1.15,4163
gender,female,residential_facility,2,0.01,4163
gender,male,ec_program_10plus_hrs,4282,28.83,10635
gender,male,services_other_loc_attended_ec_10plus_hrs,566,3.81,10635
gender,male,ec_program_less_10_hrs,356,2.4,10635
gender,male,services_other_loc_attended_ec_less_10_hrs,938,6.32,10635
gender,male,separate_class,4117,27.72,10635
gender,male,separate_school,373,2.51,10635
gender,male,residential_facility,3,0.02,10635
gender,total,ec_program_10plus_hrs,6126,41.25,14798
gender,total,services_other_loc_attended_ec_10plus_hrs,732,4.93,14798
gender,total,ec_program_less_10_hrs,530,3.57,14798
gender,total,services_other_loc_attended_ec_less_10_hrs,1301,8.76,14798
gender,total,separate_class,5560,37.44,14798
gender,total,separate_school,544,3.66,14798
gender,total,residential_facility,5,0.03,14798
disability,autism,ec_program_10plus_hrs,,,57
disability,autism,services_other_loc_attended_ec_10plus_hrs,,,57
disability,autism,ec_program_less_10_hrs,,,57
disability,autism,services_other_loc_attended_ec_less_10_hrs,,,57
disability,autism,separate_class,30,0.2,57
disability,autism,separate_school,10,0.07,57
