dimension,subgroup,environment,count,percent,subgroup_total
disability,emotional_disturbance,gen_ed_80_plus,2260,1,6342
disability,emotional_disturbance,gen_ed_40_79,1564,0.69,6342
disability,emotional_disturbance,gen_ed_less_40,991,0.44,6342
disability,emotional_disturbance,separate_school,1412,0.63,6342
disability,emotional_disturbance,residential_facility,47,0.02,6342
disability,emotional_disturbance,homebound_hospital,68,0.03,6342
disability,hearing_impairment,gen_ed_80_plus,653,0.29,1303
disability,hearing_impairment,gen_ed_40_79,278,0.12,1303
disability,hearing_impairment,gen_ed_less_40,164,0.07,1303
disability,hearing_impairment,separate_school,202,0.09,1303
disability,hearing_impairment,residential_facility,,,1303
disability,hearing_impairment,homebound_hospital,,,1303
disability,intellectual_disability,gen_ed_80_plus,400,0.18,5307
disability,intellectual_disability,gen_ed_40_79,1680,0.75,5307
disability,intellectual_disability,gen_ed_less_40,2680,1.19,5307
disability,intellectual_disability,separate_school,528,0.23,5307
disability,intellectual_disability,residential_facility,,0,5307
disability,intellectual_disability,homebound_hospital,14,0.01,5307
disability,multiple_disabilities,gen_ed_80_plus,1791,0.79,12579
disability,multiple_disabilities,gen_ed_40_79,3109,1.38,12579
disability,multiple_disabilities,gen_ed_less_40,3580,1.59,12579
disability,multiple_disabilities,separate_school,3847,1.71,12579
disability,multiple_disabilities,residential_facility,94,0.04,12579
disability,multiple_disabilities,homebound_hospital,158,0.07,12579
disability,orthopedic_impairment,gen_ed_80_plus,172,0.08,269
disability,orthopedic_impairment,gen_ed_40_79,53,0.02,269
disability,orthopedic_impairment,gen_ed_less_40,27,0.01,269
disability,orthopedic_impairment,separate_school,16,0.01,269
disability,orthopedic_impairment,residential_facility,0,0,269
disability,orthopedic_impairment,homebound_hospital,,0,269
disability,other_health_impairment,gen_ed_80_plus,25258,11.21,47889
disability,other_health_impairment,gen_ed_40_79,15490,6.87,47889
disability,other_health_impairment,gen_ed_less_40,5127,2.28,47889
disability,other_health_impairment,separate_school,1826,0.81,47889
disability,other_health_impairment,residential_facility,49,0.02,47889
disability,other_health_impairment,homebound_hospital,139,0.06,47889
disability,specific_learning_disability,gen_ed_80_plus,34438,15.28,66512
disability,specific_learning_disability,gen_ed_40_79,25454,11.3,66512
disability,specific_learning_disability,gen_ed_less_40,6216,2.76,66512
disability,specific_learning_disability,separate_school,353,0.16,66512
disability,specific_learning_disability,residential_facility,,0,66512
disability,specific_learning_disability,homebound_hospital,42,0.02,66512
disability,speech_language_impairment,gen_ed_80_plus,28858,12.81,46374
disability,speech_language_impairment,gen_ed_40_79,10756,4.77,46374
disability,speech_language_impairment,gen_ed_less_40,6508,2.89,46374
disability,speech_language_impairment,separate_school,232,0.1,46374
disability,speech_language_impairment,residential_facility,,0,46374
disability,speech_language_impairment,homebound_hospital,13,0.01,46374
disability,traumatic_brain_injury,gen_ed_80_plus,91,0.04,345
disability,traumatic_brain_injury,gen_ed_40_79,103,0.05,345
disability,traumatic_brain_injury,gen_ed_less_40,73,0.03,345
disability,traumatic_brain_injury,separate_school,63,0.03,345
disability,traumatic_brain_injury,residential_facility,,0,345
disability,traumatic_brain_injury,homebound_hospital,12,0.01,345
disability,visual_impairment,gen_ed_80_plus,196,0.09,340
disability,visual_impairment,gen_ed_40_79,83,0.04,340
disability,visual_impairment,gen_ed_less_40,39,0.02,340
disability,visual_impairment,separate_school,22,0.01,340
disability,visual_impairment,residential_facility,0,0,340
disability,visual_impairment,homebound_hospital,0,0,340
disability,total,gen_ed_80_plus,99586,44.2,212275
disability,total,gen_ed_40_79,64027,28.41,212275
disability,total,gen_ed_less_40,34890,15.47,212275
disability,total,separate_school,12960,5.76,212275
disability,total,residential_facility,292,0.11,212275
disability,total,homebound_hospital,520,0.24,212275
multilingual_learner,lep,gen_ed_80_plus,4197,1.86,13434
multilingual_learner,lep,gen_ed_40_79,3058,1.36,13434
multilingual_learner,lep,gen_ed_less_40,2172,0.96,13434
multilingual_learner,lep,separate_school,3705,1.64,13434
multilingual_learner,lep,residential_facility,90,0.04,13434
multilingual_learner,lep,homebound_hospital,212,0.09,13434
multilingual_learner,non_lep,gen_ed_80_plus,95389,42.33,198841
multilingual_learner,non_lep,gen_ed_40_79,60969,27.06,198841
multilingual_learner,non_lep,gen_ed_less_40,32718,14.52,198841
multilingual_learner,non_lep,separate_school,9255,4.11,198841
multilingual_learner,non_lep,residential_facility,202,0.09,198841
multilingual_learner,non_lep,homebound_hospital,308,0.14,198841
multilingual_learner,total,gen_ed_80_plus,99586,44.19,212275
multilingual_learner,total,gen_ed_40_79,64027,28.41,212275
multilingual_learner,total,gen_ed_less_40,34890,15.48,212275
multilingual_learner,total,separate_school,12960,5.75,212275
multilingual_learner,total,residential_facility,292,0.13,212275
multilingual_learner,total,homebound_hospital,520,0.23,212275
