dimension,subgroup,environment,count,percent,subgroup_total
racial_ethnic,white,gen_ed_80_plus,50987,22.63,94051
racial_ethnic,white,gen_ed_40_79,26786,11.89,94051
racial_ethnic,white,gen_ed_less_40,9954,4.42,94051
racial_ethnic,white,separate_school,5924,2.63,94051
racial_ethnic,white,residential_facility,147,0.07,94051
racial_ethnic,white,homebound_hospital,253,0.11,94051
racial_ethnic,hispanic,gen_ed_80_plus,27809,12.34,66598
racial_ethnic,hispanic,gen_ed_40_79,21700,9.63,66598
racial_ethnic,hispanic,gen_ed_less_40,13733,6.09,66598
racial_ethnic,hispanic,separate_school,3149,1.4,66598
racial_ethnic,hispanic,residential_facility,52,0.02,66598
racial_ethnic,hispanic,homebound_hospital,155,0.07,66598
racial_ethnic,black,gen_ed_80_plus,13154,5.84,35364
racial_ethnic,black,gen_ed_40_79,11227,4.98,35364
racial_ethnic,black,gen_ed_less_40,8100,3.59,35364
racial_ethnic,black,separate_school,2751,1.22,35364
racial_ethnic,black,residential_facility,62,0.03,35364
racial_ethnic,black,homebound_hospital,70,0.03,35364
racial_ethnic,asian,gen_ed_80_plus,4623,2.05,10026
racial_ethnic,asian,gen_ed_40_79,2428,1.08,10026
racial_ethnic,asian,gen_ed_less_40,2168,0.96,10026
racial_ethnic,asian,separate_school,760,0.34,10026
racial_ethnic,asian,residential_facility,21,0.01,10026
racial_ethnic,asian,homebound_hospital,26,0.01,10026
racial_ethnic,multiracial,gen_ed_80_plus,2748,1.22,5565
racial_ethnic,multiracial,gen_ed_40_79,1673,0.74,5565
racial_ethnic,multiracial,gen_ed_less_40,788,0.35,5565
racial_ethnic,multiracial,separate_school,334,0.15,5565
racial_ethnic,multiracial,residential_facility,,,5565
racial_ethnic,multiracial,homebound_hospital,14,0.01,5565
racial_ethnic,native_american,gen_ed_80_plus,125,0.06,319
racial_ethnic,native_american,gen_ed_40_79,97,0.04,319
racial_ethnic,native_american,gen_ed_less_40,78,0.03,319
racial_ethnic,native_american,separate_school,19,0.01,319
racial_ethnic,native_american,residential_facility,0,0,319
racial_ethnic,native_american,homebound_hospital,0,0,319
racial_ethnic,pacific_islander,gen_ed_80_plus,140,0.06,352
racial_ethnic,pacific_islander,gen_ed_40_79,116,0.05,352
racial_ethnic,pacific_islander,gen_ed_less_40,69,0.03,352
racial_ethnic,pacific_islander,separate_school,23,0.01,352
racial_ethnic,pacific_islander,residential_facility,,,352
racial_ethnic,pacific_islander,homebound_hospital,,,352
racial_ethnic,total,gen_ed_80_plus,99586,44.2,212275
racial_ethnic,total,gen_ed_40_79,64027,28.41,212275
racial_ethnic,total,gen_ed_less_40,34890,15.47,212275
racial_ethnic,total,separate_school,12960,5.76,212275
racial_ethnic,total,residential_facility,292,0.13,212275
racial_ethnic,total,homebound_hospital,520,0.23,212275
gender,female,gen_ed_80_plus,35243,15.64,71724
gender,female,gen_ed_40_79,22195,9.85,71724
gender,female,gen_ed_less_40,10279,4.56,71724
gender,female,separate_school,3705,1.64,71724
gender,female,residential_facility,90,0.04,71724
gender,female,homebound_hospital,212,0.09,71724
gender,male,gen_ed_80_plus,64343,28.55,140551
gender,male,gen_ed_40_79,41832,18.56,140551
gender,male,gen_ed_less_40,24611,10.92,140551
gender,male,separate_school,9255,4.11,140551
gender,male,residential_facility,202,0.09,140551
gender,male,homebound_hospital,308,0.14,140551
gender,total,gen_ed_80_plus,99586,44.19,212275
gender,total,gen_ed_40_79,64027,28.41,212275
gender,total,gen_ed_less_40,34890,15.48,212275
gender,total,separate_school,12960,5.75,212275
gender,total,residential_facility,292,0.13,212275
gender,total,homebound_hospital,520,0.23,212275
disability,autism,gen_ed_80_plus,5403,2.4,24880
disability,autism,gen_ed_40_79,5438,2.41,24880
disability,autism,gen_ed_less_40,9457,4.2,24880
disability,autism,separate_school,4437,1.97,24880
disability,autism,residential_facility,74,0.03,24880
disability,autism,homebound_hospital,71,0.03,24880
disability,deaf_blindness,gen_ed_80_plus,,,
disability,deaf_blindness,gen_ed_40_79,,,
disability,deaf_blindness,gen_ed_less_40,,,
disability,deaf_blindness,separate_school,,,
disability,deaf_blindness,residential_facility,0,0,
disability,deaf_blindness,homebound_hospital,0,0,
disability,developmental_delay,gen_ed_80_plus,61,0.03,114
disability,developmental_delay,gen_ed_40_79,16,0.01,114
disability,developmental_delay,gen_ed_less_40,24,0.01,114
disability,developmental_delay,separate_school,13,0.01,114
disability,developmental_delay,residential_facility,0,0,114
disability,developmental_delay,homebound_hospital,0,0,114
