dimension,subgroup,environment,count,percent,subgroup_total
disability,developmental_delay,separate_school,,,13284
disability,developmental_delay,residential_facility,,,13284
disability,emotional_disturbance,ec_program_10plus_hrs,0,,0
disability,emotional_disturbance,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,emotional_disturbance,ec_program_less_10_hrs,0,0,0
disability,emotional_disturbance,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,emotional_disturbance,separate_class,0,0,0
disability,emotional_disturbance,separate_school,0,0,0
disability,emotional_disturbance,residential_facility,0,0,0
disability,hearing_impairment,ec_program_10plus_hrs,0,,0
disability,hearing_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,hearing_impairment,ec_program_less_10_hrs,0,0,0
disability,hearing_impairment,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,hearing_impairment,separate_class,0,0,0
disability,hearing_impairment,separate_school,,,0
disability,hearing_impairment,residential_facility,0,0,0
disability,intellectual_disability,ec_program_10plus_hrs,0,,0
disability,intellectual_disability,services_other_loc_attended_ec_10plus_hrs,0,,0
disability,intellectual_disability,ec_program_less_10_hrs,0,,0
disability,intellectual_disability,services_other_loc_attended_ec_less_10_hrs,0,,0
disability,intellectual_disability,separate_class,0,0,0
disability,intellectual_disability,separate_school,,,0
disability,intellectual_disability,residential_facility,0,0,0
disability,multiple_disabilities,ec_program_10plus_hrs,,,12
disability,multiple_disabilities,services_other_loc_attended_ec_10plus_hrs,,0,12
disability,multiple_disabilities,ec_program_less_10_hrs,,0,12
disability,multiple_disabilities,services_other_loc_attended_ec_less_10_hrs,0,0,12
disability,multiple_disabilities,separate_class,,,12
disability,multiple_disabilities,separate_school,,,12
disability,multiple_disabilities,residential_facility,0,0,12
disability,orthopedic_impairment,ec_program_10plus_hrs,0,,0
disability,orthopedic_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,orthopedic_impairment,ec_program_less_10_hrs,0,0,0
disability,orthopedic_impairment,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,orthopedic_impairment,separate_class,0,0,0
disability,orthopedic_impairment,separate_school,0,0,0
disability,orthopedic_impairment,residential_facility,0,0,0
disability,other_health_impairment,ec_program_10plus_hrs,10,,14
disability,other_health_impairment,services_other_loc_attended_ec_10plus_hrs,,,14
disability,other_health_impairment,ec_program_less_10_hrs,,,14
disability,other_health_impairment,services_other_loc_attended_ec_less_10_hrs,0,,14
disability,other_health_impairment,separate_class,,,14
disability,other_health_impairment,separate_school,0,0,14
disability,other_health_impairment,residential_facility,0,0,14
disability,specific_learning_disability,ec_program_10plus_hrs,,,
disability,specific_learning_disability,services_other_loc_attended_ec_10plus_hrs,,,
disability,specific_learning_disability,ec_program_less_10_hrs,,,
disability,specific_learning_disability,services_other_loc_attended_ec_less_10_hrs,0,,
disability,specific_learning_disability,separate_class,,,
disability,specific_learning_disability,separate_school,0,0,
disability,specific_learning_disability,residential_facility,0,0,
disability,speech_language_impairment,ec_program_10plus_hrs,25,,28
disability,speech_language_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,28
disability,speech_language_impairment,ec_program_less_10_hrs,,,28
disability,speech_language_impairment,services_other_loc_attended_ec_less_10_hrs,,,28
disability,speech_language_impairment,separate_class,,,28
disability,speech_language_impairment,separate_school,0,0,28
disability,speech_language_impairment,residential_facility,0,0,28
disability,traumatic_brain_injury,ec_program_10plus_hrs,0,,0
disability,traumatic_brain_injury,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,traumatic_brain_injury,ec_program_less_10_hrs,0,0,0
disability,traumatic_brain_injury,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,traumatic_brain_injury,separate_class,0,0,0
disability,traumatic_brain_injury,separate_school,0,0,0
disability,traumatic_brain_injury,residential_facility,0,0,0
disability,visual_impairment,ec_program_10plus_hrs,0,,0
disability,visual_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,visual_impairment,ec_program_less_10_hrs,0,0,0
disability,visual_impairment,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,visual_impairment,separate_class,0,0,0
disability,visual_impairment,separate_school,0,0,0
disability,visual_impairment,residential_facility,0,0,0
disability,total,ec_program_10plus_hrs,5513,,13404
disability,total,services_other_loc_attended_ec_10plus_hrs,603,,13404
disability,total,ec_program_less_10_hrs,554,,13404
disability,total,services_other_loc_attended_ec_less_10_hrs,1235,,13404
disability,total,separate_class,5051,37.58,13404
disability,total,separate_school,,,13404
disability,total,residential_facility,,,13404
multilingual_learner,lep,ec_program_10plus_hrs,188,1.4,300
multilingual_learner,lep,services_other_loc_attended_ec_10plus_hrs,13,0.1,300
multilingual_learner,lep,ec_program_less_10_hrs,24,0.18,300
multilingual_learner,lep,services_other_loc_attended_ec_less_10_hrs,16,0.12,300
multilingual_learner,lep,separate_class,,,300
multilingual_learner,lep,separate_school,,,300
