dimension,subgroup,environment,count,percent,subgroup_total
racial_ethnic,white,ec_program_10plus_hrs,2391,18.34,3295
racial_ethnic,white,services_other_loc_attended_ec_10plus_hrs,198,1.52,3295
racial_ethnic,white,ec_program_less_10_hrs,283,2.17,3295
racial_ethnic,white,services_other_loc_attended_ec_less_10_hrs,423,3.24,3295
racial_ethnic,hispanic,ec_program_10plus_hrs,1847,14.17,2625
racial_ethnic,hispanic,services_other_loc_attended_ec_10plus_hrs,156,1.2,2625
racial_ethnic,hispanic,ec_program_less_10_hrs,226,1.73,2625
racial_ethnic,hispanic,services_other_loc_attended_ec_less_10_hrs,396,3.04,2625
racial_ethnic,black,ec_program_10plus_hrs,496,3.8,791
racial_ethnic,black,services_other_loc_attended_ec_10plus_hrs,55,0.42,791
racial_ethnic,black,ec_program_less_10_hrs,86,0.66,791
racial_ethnic,black,services_other_loc_attended_ec_less_10_hrs,154,1.18,791
racial_ethnic,asian,ec_program_10plus_hrs,299,2.29,514
racial_ethnic,asian,services_other_loc_attended_ec_10plus_hrs,89,0.68,514
racial_ethnic,asian,ec_program_less_10_hrs,34,0.26,514
racial_ethnic,asian,services_other_loc_attended_ec_less_10_hrs,92,0.71,514
racial_ethnic,multiracial,ec_program_10plus_hrs,153,1.17,208
racial_ethnic,multiracial,services_other_loc_attended_ec_10plus_hrs,15,0.12,208
racial_ethnic,multiracial,ec_program_less_10_hrs,17,0.13,208
racial_ethnic,multiracial,services_other_loc_attended_ec_less_10_hrs,23,0.18,208
racial_ethnic,native_american,ec_program_10plus_hrs,14,0.11,19
racial_ethnic,native_american,services_other_loc_attended_ec_10plus_hrs,,,19
racial_ethnic,native_american,ec_program_less_10_hrs,,,19
racial_ethnic,native_american,services_other_loc_attended_ec_less_10_hrs,,,19
racial_ethnic,pacific_islander,ec_program_10plus_hrs,21,0.16,43
racial_ethnic,pacific_islander,services_other_loc_attended_ec_10plus_hrs,,,43
racial_ethnic,pacific_islander,ec_program_less_10_hrs,12,0.09,43
racial_ethnic,pacific_islander,services_other_loc_attended_ec_less_10_hrs,,,43
racial_ethnic,total,ec_program_10plus_hrs,5221,40.24,7495
racial_ethnic,total,services_other_loc_attended_ec_10plus_hrs,517,3.98,7495
racial_ethnic,total,ec_program_less_10_hrs,659,5.05,7495
racial_ethnic,total,services_other_loc_attended_ec_less_10_hrs,1098,8.43,7495
gender,female,ec_program_10plus_hrs,1585,12.16,2217
gender,female,services_other_loc_attended_ec_10plus_hrs,137,1.05,2217
gender,female,ec_program_less_10_hrs,209,1.6,2217
gender,female,services_other_loc_attended_ec_less_10_hrs,286,2.19,2217
gender,male,ec_program_10plus_hrs,3636,27.89,5278
gender,male,services_other_loc_attended_ec_10plus_hrs,380,2.91,5278
gender,male,ec_program_less_10_hrs,450,3.45,5278
gender,male,services_other_loc_attended_ec_less_10_hrs,812,6.23,5278
gender,total,ec_program_10plus_hrs,5221,40.05,7495
gender,total,services_other_loc_attended_ec_10plus_hrs,517,3.96,7495
gender,total,ec_program_less_10_hrs,659,5.05,7495
gender,total,services_other_loc_attended_ec_less_10_hrs,1098,8.42,7495
disability,autism,ec_program_10plus_hrs,18,0.14,23
disability,autism,services_other_loc_attended_ec_10plus_hrs,,,23
disability,autism,ec_program_less_10_hrs,0,0,23
disability,autism,services_other_loc_attended_ec_less_10_hrs,,,23
disability,developmental_delay,ec_program_10plus_hrs,5131,39.35,7375
disability,developmental_delay,services_other_loc_attended_ec_10plus_hrs,512,3.93,7375
disability,developmental_delay,ec_program_less_10_hrs,646,4.95,7375
disability,developmental_delay,services_other_loc_attended_ec_less_10_hrs,1086,8.33,7375
